contact_id,account_id,assistant_name,asst_phone,birthdate,business_fax,business_phone,clean_status,created_date,deleted,department,email,email_bounced_date,email_bounced_reason,first_name,full_name,last_name,is_email_bounced,languages,lead_source,level,mobile_phone
0035h00000pY6JIAA0,0015h000013m9LNAAY,,,10/16/1970,(512) 757-9000,(512) 757-6000,Pending,11/04/2022T02:42:50.000Z,FALSE,Procurement,rose@edge.com,,,Rose,Rose Gonzalez,Gonzalez,FALSE,English,Trade Show,Primary,(512) 757-9340
0035h00000pY6JJAA0,0015h000013m9LNAAY,,,07/14/1949,(512) 757-9000,(512) 757-6000,Pending,11/04/2022T02:42:50.000Z,FALSE,Finance,sean@edge.com,,,Sean,Sean Forbes,Forbes,FALSE,English,Trade Show,Secondary,(512) 757-4561
0035h00000pY6JKAA0,0015h000013m9LOAAY,,,,(336) 222-8000,(336) 222-7000,Pending,11/04/2022T02:42:50.000Z,FALSE,,jrogers@burlington.com,,,Jack,Jack Rogers,Rogers,FALSE,,Web,,
0035h00000pY6JLAA0,0015h000013m9LPAAY,Jean Marie,(014) 427-4465,,(014) 427-4428,(014) 427-4427,Pending,11/04/2022T02:42:50.000Z,FALSE,Finance,pat@pyramid.net,,,Pat,Pat Stumuller,Stumuller,FALSE,"French, English",,Primary,(014) 454-6364
0035h00000pY6JMAA0,0015h000013m9LQAAY,,,,,(785) 241-6200,Pending,11/04/2022T02:42:50.000Z,FALSE,Internal Operations,a_young@dickenson.com,,,Andy,Andy Young,Young,FALSE,English,Purchased List,Primary,(785) 265-5350
0035h00000pY6JNAA0,0015h000013m9LRAAY,,,06/11/56,(312) 596-1500,(312) 596-1000,Pending,11/04/2022T02:42:50.000Z,FALSE,Finance,barr_tim@grandhotels.com,,,Tim,Tim Barr,Barr,FALSE,English,External Referral,Secondary,(312) 596-1230
0035h00000pY6JOAA0,0015h000013m9LRAAY,,,08/23/1958,(312) 596-1500,(312) 596-1000,Pending,11/04/2022T02:42:50.000Z,FALSE,Facilities,bond_john@grandhotels.com,,,John,John Bond,Bond,FALSE,English,External Referral,Primary,(312) 596-1563
0035h00000pY6JPAA0,0015h000013m9LSAAY,Audrey Haynes,(212) 842-5589,02/06/46,(212) 842-5501,(212) 842-5500,Pending,11/04/2022T02:42:50.000Z,FALSE,Production,spavlova@uog.com,,,Stella,Stella Pavlova,Pavlova,FALSE,English,Public Relations,Tertiary,(212) 842-5501
0035h00000pY6JQAA0,0015h000013m9LSAAY,,,03/22/1963,(212) 842-5501,(212) 842-5500,Pending,11/04/2022T02:42:50.000Z,FALSE,Technology,lboyle@uog.com,,,Lauren,Lauren Boyle,Boyle,FALSE,English,Public Relations,Secondary,(212) 842-5611
0035h00000pY6JRAA0,0015h000013m9LTAAY,Ron Sage,(503) 421-6782,09/23/1939,(503) 421-7801,(503) 421-7800,Pending,11/04/2022T02:42:50.000Z,FALSE,Operations,b.levy@expressl&t.net,,,Babara,Babara Levy,Levy,FALSE,English,Word of mouth,Primary,(503) 421-5451
