lead_id,annual_revenue,city,clean_status,company,converted,converted_account_id,converted_contact_id,converted_date,converted_opportunity_id,country,created_date,deleted,description,email,email_bounced_date,email_bounced_reason,employees,first_name,last_name,full_name,industry,lead_source,mobile_phone,number_of_locations,phone,product_interest,rating,state,status,street,title,website,zip_code
00Q5h00000IY29YEAT,3080000,Seattle,Pending,Binary sytems Inc.,false,,,,,US,11/27/2022T00:39:08.000Z,false,,zendalin@binary.com,,,1800,Zenda,Lin,Zenda Lin,Technology,Phone Inquiry,858) 212-9817,,858) 212-9817,,Hot,Washington,Open - Not Contacted,"3300, Berk street,
Seattle, Washington
Usa",Director,ww.binarysys.com,
00Q5h00000IY2F2EAL,230000,Austin,Pending,Fritiis,false,,,,,US,11/27/2022T01:09:21.000Z,false,,kristysky@fritiis.com,,,38,Kristy,Sky,Kristy Sky,Environmental,Purchased List,8582141890,,8582141890,,Warm,TX,Working - Contacted,"312 Constitution Place
Austin, TX 78767
USA",Sr. advisor,www.fritiis.com,78767
00Q5h00000IY2DHEA1,,Phoenix,Pending,HouseRank,false,,,,,US,11/27/2022T01:02:04.000Z,false,,michaelyeng@houserank.com,,,,Michael,Yeng,Michael Yeng,Construction,Web,8517829826,,8517829826,,Cold,AZ,Open - Not Contacted,"1908, finance district, Phoenix , AZ
US",Sr. Architect,www.houserank.com,
00Q5h00000IY5CBEA1,36000000,Lawrence,Pending,Berkley tech,false,,,,,US,11/27/2022T04:48:13.000Z,false,,roland@berkleytech.com,,,12000,Roland,Oakland,Roland Oakland,Technology,Web,8582290826,,8582290826,,Hot,KS,Open - Not Contacted,"1301 Hoch Drive
Lawrence, KS 66045
USA",Sr. Lead,www.berkleytech.com,66045
00Q5h00000IY5JbEAL,3290000000,NY,Pending,Retinas,false,,,,,US,11/27/2022T04:51:51.000Z,false,,tiffanyquach@retinas.com,,,8000,Tiffany,Quach,Tiffany Quach,Healthcare,Partner Referral,8582142789,,8582142789,,Hot,NY,Working - Contacted,"The Bronx, NY
US",,www.retinas.com,
00Q5h00000IY2CXEA1,36000000,Burlington,Pending,Soundbar,false,,,,,US,11/27/2022T00:54:17.000Z,false,,steven@soundbar.com,,,12000,Steve,Nour,Steve Nour,Electronics,Partner Referral,8268244826,,8268244826,,,NC,Working - Contacted,"525 S. Lexington Ave
Burlington, NC 27215
USA",Senior advisor,www.soundbar.com,27215
00Q5h00000IY2EjEAL,548000000,LA,Pending,University of Southern California,false,,,,,US,11/27/2022T01:11:43.000Z,false,,liungwills@usc.edu,,,12000,Liung,Wills,Liung Wills,Education,Web,8522194826,,8522194826,,Hot,CA,Working - Contacted,"University of Southern California, LA, CA,US",Program director,www.usc/admissions.com,92092
00Q5h00000IY2AMEA1,,Boston,Pending,Northeastern,false,,,,,US,11/27/2022T00:41:46.000Z,false,,lindak@neu.edu,,,8900,Linda,Kriss,Linda Kriss,Education,Purchased List,858) 212-9826,,8582129826,,Warm,MA,Open - Not Contacted,"360 Huntington Ave, Boston, MA 02115",Assistant Prof,www.northeastern.com,2115
00Q5h00000IY2C8EAL,36800000,London,Pending,SRS health,false,,,,,UK,11/27/2022T00:51:03.000Z,false,,shellyranks@srs.com,,,2500,Shelly,Ranks,Shelly Ranks,Biotechnology,Phone Inquiry,2082144826,,2082144826,,Warm,,Open - Not Contacted,"189, Burges street, London,UK",Director,www.srs.com,
00Q5h00000IY2EdEAL,,Phoenix,Pending,Krible,false,,,,,US,11/27/2022T01:06:14.000Z,false,,ashelytank@krible.com,,,,Ashley,Tank,Ashley Tank,Food & Beverage,Phone Inquiry,8519024826,,8519024826,,Warm,AZ,Closed - Converted,"2790, EMS district, Phoenix , AZ
US",Sr. Lead,www.krible.com,
00Q5h00000IY2CrEAL,,Fellsmere,Pending,Timber works,false,,,,,US,11/27/2022T00:56:40.000Z,false,,ravonk@timwk.com,,,14000,Ravon,K.,Ravon K.,Chemicals,Phone Inquiry,8168924826,,8168924826,,Cold,FL,Open - Not Contacted,"Fellsmere, FL
US",Partner,www.timwk.com,
00Q5h00000E35g6EAB,,,Pending,Abbott Insurance,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,pcotton@abbottins.net,,,,Phyllis,Cotton,Phyllis Cotton,,Web,,130,(703) 757-1000,GC5000 series,,VA,Open - Not Contacted,,CFO,,
